city,state,avg_monthly_rent,avg_annual_income,avg_monthly_income,avg_rent_burden,zip_count,rent_burden_percent,affordability_category
Bartlett,IL,2095.8333333333335,115596.60561257992,9633.050467714993,0.6463854369301689,6,64.63854369301689,Severely Burdened
Bartlett,TN,1689.777489177489,121012.81946407109,10084.401622005924,0.4735159494715941,12,47.351594947159406,Burdened
Bartow,FL,1839.4305555555557,131061.7703455222,10921.814195460183,0.5071360351868305,6,50.71360351868305,Severely Burdened
Basalt,CO,4616.666666666667,202157.88787193198,16846.490655994334,0.7007100671414889,5,70.0710067141489,Severely Burdened
Basking Ridge,NJ,3212.5,181816.10295643282,15151.34191303607,0.48514961477055263,5,48.514961477055266,Burdened
Bastrop,TX,1802.8701754385968,142265.89022579702,11855.490852149751,0.5070806390404037,6,50.708063904040365,Severely Burdened
Batavia,NY,1350.0,124855.92544089718,10404.660453408096,0.3877858582619087,6,38.77858582619087,Borderline
Batavia,OH,1936.263888888889,117471.94839828792,9789.329033190661,0.5530518016007676,6,55.30518016007676,Severely Burdened
Batesville,AR,898.3333333333334,129403.94500119162,10783.662083432635,0.2544925856917752,6,25.44925856917752,Affordable
Bath,ME,1836.25,120042.7077335778,10003.55897779815,0.5421255004701201,6,54.21255004701201,Severely Burdened
Baton Rouge,LA,1362.3671330541401,133198.3875093217,11099.865625776809,0.38688430860130035,65,38.68843086013003,Borderline
Battle Creek,MI,1153.674007936508,114648.07842321863,9554.00653526822,0.3422145818823194,24,34.22145818823194,Borderline
Battle Ground,WA,2145.0,126734.03257025014,10561.169380854179,0.6172352480897226,6,61.723524808972265,Severely Burdened
Battlefield,MO,1600.0,139682.59100918812,11640.215917432344,0.4664612968841657,6,46.64612968841657,Burdened
Baxter,MN,1199.0,116236.90947030937,9686.409122525782,0.36376613734264,6,36.376613734264005,Borderline
Bay City,MI,960.4166666666666,122826.17422697837,10235.514518914866,0.28755066775372756,6,28.755066775372757,Affordable
Bay City,TX,974.888888888889,115329.36782055149,9610.780651712625,0.27353805923289903,6,27.353805923289904,Affordable
Bay Saint Louis,MS,1336.875,119999.09178161879,9999.9243151349,0.37524533697919954,6,37.524533697919956,Borderline
